group,category,subject,source_urls
1年,学年別,韓国朝鮮語第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,独語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,仏語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,露語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,中国語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,韓国朝鮮語第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,サイエンス工房A,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,サイエンス工房B,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,情報工学工房A,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,電子工学工房,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,離散数学,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,情報領域演習第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
